Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,5,10,83 BD DE MAGENTA Paris 10,48.83339552596622,2.331807227895435
2 ROUES,Vélos,2,15,77 RUE DE L' ABBE GROULT Paris 15,48.857678626659805,2.3621112444070484
2 ROUES,Vélos,18,9,53 RUE CONDORCET Paris 9,48.82479557519759,2.3257886131740464
2 ROUES,Vélos,6,7, AV JOSEPH BOUVARD Paris 7,48.8640662934304,2.3918994166203253
2 ROUES,Vélos,3,14,105 AV DU GENERAL LECLERC Paris 14,48.86300449005602,2.388198237923822
2 ROUES,Vélos,42,4,4 RUE DE LOBAU Paris 4,48.855801165606366,2.294440871420446
2 ROUES,Vélos,4,15,28 RUE DE LA PROCESSION Paris 15,48.84660796070808,2.3127778567149813
2 ROUES,Vélos,16,15,39 RUE VASCO DE GAMA Paris 15,48.849743563309566,2.344965198706587
2 ROUES,Vélos,6,1, QU DE LA MEGISSERIE Paris 1,48.850242376511815,2.331659638249516
2 ROUES,Vélos,4,17,42 BD PEREIRE Paris 17,48.870923935437965,2.3248467849045005
2 ROUES,Vélos,8,9,8 RUE BLEUE Paris 9,48.8413705893799,2.341256233760349
2 ROUES,Vélos,16,14,3 RUE D' ALESIA Paris 14,48.858800835711776,2.410570267210015
2 ROUES,Vélos,4,10,18 RUE DE L' ECHIQUIER Paris 10,48.86792473131119,2.344960992809747
2 ROUES,Vélos,20,4,11 RUE MALHER Paris 4,48.868721671700996,2.3419038275602833
2 ROUES,Vélos,7,13,84 RUE NATIONALE Paris 13,48.86354140505005,2.3614201666259818
2 ROUES,Vélos,26,3,70 RUE DE TURBIGO Paris 3,48.88276543310406,2.2824248516707124
2 ROUES,Vélos,22,9,23 RUE DE BRUXELLES Paris 9,48.8452957556257,2.382828502815664
2 ROUES,Vélos,20,8,23 RUE DE LA BAUME Paris 8,48.84044445502026,2.337088173389465
2 ROUES,Vélos,12,3,49 RUE DE SAINTONGE Paris 3,48.89127744523641,2.327324818634567
2 ROUES,Vélos,38,5,1 RUE SANTEUIL Paris 5,48.84851256336696,2.3416853770339476
2 ROUES,Vélos,8,12,114 CRS DE VINCENNES Paris 12,48.89124049563816,2.3277504913251335
2 ROUES,Vélos,22,18,140 RUE MARCADET Paris 18,48.82983775915215,2.343782465188288
2 ROUES,Vélos,14,5,73 BD SAINT-GERMAIN Paris 5,48.87113015629533,2.299662486195674
2 ROUES,Vélos,5,20,46 RUE DE TERRE NEUVE Paris 20,48.83121439881846,2.321309764111705
2 ROUES,Vélos,3,13,103 RUE DE TOLBIAC Paris 13,48.865583300263374,2.3336628006059743
2 ROUES,Vélos,18,10,209 RUE DU FAUBOURG SAINT-MARTIN Paris 10,48.88419525937676,2.3271342324500677
2 ROUES,Vélos,5,12,14 RUE D' ALIGRE Paris 12,48.85798031267191,2.3636208668082763
2 ROUES,Vélos,4,11,8 RUE NEUVE POPINCOURT Paris 11,48.88626720764589,2.3262418857113496
2 ROUES,Vélos,6,12,31 RUE VILLIOT Paris 12,48.889538599586395,2.3407217477360893
2 ROUES,Vélos,2,19,8 RUE LOUNES MATOUB Paris 19,48.86431888800532,2.336514119634392
2 ROUES,Vélos,4,1,2 RUE D' ARGENTEUIL Paris 1,48.86491989013053,2.3368220387521803
2 ROUES,Vélos,14,19,35 AV CORENTIN CARIOU Paris 19,48.885940870219315,2.3593997703052474
2 ROUES,Vélos,16,9,2 RUE DE CAUMARTIN Paris 9,48.85625071481303,2.3648275851211995
2 ROUES,Vélos,18,10,158 RUE DU FAUBOURG POISSONNIERE Paris 10,48.86709972022566,2.3390542098851532
2 ROUES,Vélos,4,1,5 RUE DES BOURDONNAIS Paris 1,48.86339024483298,2.3350338387289615
2 ROUES,Vélos,3,18,7 BD BARBES Paris 18,48.88589238621035,2.2971768944541817
2 ROUES,Vélos,5,19,12 RUE HASSARD Paris 19,48.889225513574885,2.3597876795158617
2 ROUES,Vélos,12,15,28 RUE DU COTENTIN Paris 15,48.88356824972859,2.2986012321159923
2 ROUES,Vélos,4,4,30 QU DE BETHUNE Paris 4,48.88822567276233,2.2937032026495072
2 ROUES,Vélos,8,10,40 RUE DU FAUBOURG POISSONNIERE Paris 10,48.87955159473995,2.39603824415026
2 ROUES,Vélos,5,13,187 RUE DU CHATEAU DES RENTIERS Paris 13,48.853132114624245,2.3793681412750525
2 ROUES,Vélos,5,6,117 RUE DU CHERCHE-MIDI Paris 6,48.895010965818045,2.359849256151306
2 ROUES,Vélos,6,13, RUE THOMIRE Paris 13,48.825080204543994,2.3727735437977877
2 ROUES,Vélos,14,9,4 RUE BOUDREAU Paris 9,48.895325560579266,2.3588768063675998
2 ROUES,Vélos,18,17,96 RUE JOUFFROY D'ABBANS Paris 17,48.82595737069288,2.3504574375353635
2 ROUES,Vélos,10,20,13 RUE DU RETRAIT Paris 20,48.85575219523474,2.2927004943687463
2 ROUES,Vélos,4,12,11 RUE DU SAHEL Paris 12,48.86498722413296,2.2895073298150743
2 ROUES,Vélos,10,18,2 RUE FREDERIC SCHNEIDER Paris 18,48.86660483707545,2.352698504851619
2 ROUES,Vélos,5,2,7 RUE DE MULHOUSE Paris 2,48.891641641143316,2.321871709667118
2 ROUES,Vélos,6,7,13 AV DE SEGUR Paris 7,48.89119066856233,2.3253387956425837
2 ROUES,Vélos,6,17,81 RUE PIERRE REBIERE Paris 17,48.87705039665745,2.3407293633243573
2 ROUES,Vélos,8,12,114 CRS DE VINCENNES Paris 12,48.81987507516356,2.3547565822896366
2 ROUES,Vélos,10,3,16 RUE ELZEVIR Paris 3,48.85588035347486,2.354407986909355
2 ROUES,Vélos,12,18, RUE RONSARD Paris 18,48.82216523039756,2.354365064913527
2 ROUES,Vélos,6,14,291 BD RASPAIL Paris 14,48.85300636057036,2.312725508348068
2 ROUES,Vélos,10,12,2 RUE AUDUBON Paris 12,48.873358466826154,2.413347683850229
2 ROUES,Vélos,24,11,23 RUE SEDAINE Paris 11,48.85923055128591,2.31813184035273
2 ROUES,Vélos,12,4,11 RUE SAINT-MARTIN Paris 4,48.859622545507854,2.311271673090391
2 ROUES,Vélos,14,10,4 RUE BICHAT Paris 10,48.84961052058448,2.366630850920405
2 ROUES,Vélos,1,15,18 RUE THEOPHRASTE RENAUDOT Paris 15,48.864645545270676,2.3317380736171107
2 ROUES,Vélos,2,15,116 AV DE SUFFREN Paris 15,48.86427270798875,2.3453505559445587
2 ROUES,Vélos,10,17,47 RUE LANTIEZ Paris 17,48.852100692594206,2.367761469602906
2 ROUES,Vélos,12,15,4 RUE HOUDART DE LAMOTTE Paris 15,48.85220848074736,2.367811975981711
2 ROUES,Vélos,18,4,17 BD BOURDON Paris 4,48.828801168729385,2.3695952441373285
2 ROUES,Vélos,2,16,38 RUE DURET Paris 16,48.896145472390835,2.3285348946493882
2 ROUES,Vélos,2,16,25 AV DU MARECHAL FRANCHET D'ESPEREY Paris 16,48.89673944517156,2.328797050611071
2 ROUES,Vélos,10,18,16 RUE DES ROSES Paris 18,48.890477563933935,2.3264820806719166
2 ROUES,Vélos,18,20,33 RUE DES GATINES Paris 20,48.89031792574339,2.326761194259825
2 ROUES,Vélos,9,20,290 RUE DES PYRENEES Paris 20,48.854117896988626,2.3898280971793326
2 ROUES,Vélos,1,18,108 BD DE CLICHY Paris 18,48.86496641759538,2.3605533779401897
2 ROUES,Vélos,6,7,11 AV FRANCO-RUSSE Paris 7,48.85446108756263,2.384791702374411
2 ROUES,Vélos,16,13,2 RUE MARGUERITE DURAS Paris 13,48.876968452978474,2.357862584775784
2 ROUES,Vélos,8,7,61 RUE DE BOURGOGNE Paris 7,48.85522844346946,2.4120623574668523
2 ROUES,Vélos,6,11,223 BD VOLTAIRE Paris 11,48.85583233221398,2.4120367161480214
2 ROUES,Vélos,20,15,74 BD GARIBALDI Paris 15,48.85579616356282,2.4119608372027286
2 ROUES,Vélos,8,6,1 RUE DE GRENELLE Paris 6,48.870845610823885,2.3013157185727433
